TYPE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
Request for Pothole Repair,PWDx,INTERSECTION of N Harvard St & Western Ave  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION N Harvard St & Western Ave,,42.33884,-71.04963,Citizens Connect App,"(42.33884, -71.04963)"
Request for Pothole Repair,PWDx,24 Hobson St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,R2,24 Hobson St,02135,42.35356,-71.16234,Citizens Connect App,"(42.35356, -71.16234)"
Request for Pothole Repair,PWDx,48 Euston Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,R2,48 Euston Rd,02135,42.343101,-71.146953,Citizens Connect App,"(42.343101, -71.146953)"
Request for Pothole Repair,PWDx,9 Walbridge St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2108,I,9 Walbridge St,02134,42.347423,-71.135808,Citizens Connect App,"(42.347423, -71.135808)"
Request for Pothole Repair,PWDx,57 Quint Ave  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,R2,57 Quint Ave,02134,42.35113,-71.13401,Citizens Connect App,"(42.35113, -71.13401)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Eleanor St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,,INTERSECTION Cambridge St & Eleanor St,,42.32933,-71.06329,Citizens Connect App,"(42.32933, -71.06329)"
Request for Pothole Repair,PWDx,144 Strathmore Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2116,R2,144 Strathmore Rd,02135,42.33901,-71.15337,Citizens Connect App,"(42.33901, -71.15337)"
Request for Pothole Repair,PWDx,500 Soldiers Field Rd  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,EA,500 Soldiers Field Rd,02134,42.36279,-71.118548,Citizens Connect App,"(42.36279, -71.118548)"
Request for Pothole Repair,PWDx,INTERSECTION of Blenford Rd & Priscilla Rd  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,,INTERSECTION Blenford Rd & Priscilla Rd,,42.28375,-71.13221,Citizens Connect App,"(42.28375, -71.13221)"
Request for Pothole Repair,INFO,400 Soldiers Field Rd  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,C,400 Soldiers Field Rd,02134,42.36002,-71.11832,Citizens Connect App,"(42.36002, -71.11832)"
Request for Pothole Repair,PWDx,5 Glenmont Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2209,R1,5 Glenmont Rd,02135,42.34618,-71.15857,Citizens Connect App,"(42.34618, -71.15857)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Soldiers Field Rd  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Cambridge St & Soldiers Field Rd,,42.35248,-71.13474,Citizens Connect App,"(42.35248, -71.13474)"
Request for Pothole Repair,PWDx,INTERSECTION of Colliston Rd & Lanark Rd  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2112,,INTERSECTION Colliston Rd & Lanark Rd,,42.28116,-71.11626,Citizens Connect App,"(42.28116, -71.11626)"
Request for Pothole Repair,PWDx,71 Kilsyth Rd  Brighton  MA  02135,,04,9,D14,Allston / Brighton,15,Ward 21,2112,A,71 Kilsyth Rd,02135,42.339917,-71.144506,Citizens Connect App,"(42.339917, -71.144506)"
Request for Pothole Repair,INFO,100 Leo M Birmingham Pkwy  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2205,C,100 Leo M Birmingham Pkwy,02135,42.35865,-71.14676,Citizens Connect App,"(42.35865, -71.14676)"
Request for Pothole Repair,PWDx,260-262 Lincoln St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2202,R4,260-262 Lincoln St,02134,42.35739,-71.13505,Citizens Connect App,"(42.35739, -71.13505)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Hano St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,,INTERSECTION Cambridge St & Hano St,,42.350441,-71.138125,Citizens Connect App,"(42.350441, -71.138125)"
Request for Pothole Repair,PWDx,INTERSECTION of Washington St & Malbert Rd  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,,INTERSECTION Washington St & Malbert Rd,,42.357408,-71.049947,Citizens Connect App,"(42.357408, -71.049947)"
Request for Pothole Repair,PWDx,176 Faneuil St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2211,R2,176 Faneuil St,02135,42.35423,-71.15723,Citizens Connect App,"(42.35423, -71.15723)"
Request for Pothole Repair,PWDx,INTERSECTION of Bigelow St & Brooks St  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,,INTERSECTION Bigelow St & Brooks St,,42.32099,-71.07895,Citizens Connect App,"(42.32099, -71.07895)"
Request for Pothole Repair,PWDx,330 Reservoir Rd  Brighton  MA  02135,,04,9,D14,Allston / Brighton,15,Ward 21,2116,R1,330 Reservoir Rd,02135,42.33096,-71.15732,Citizens Connect App,"(42.33096, -71.15732)"
Request for Pothole Repair,PWDx,60 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,C,60 Cambridge St,02134,42.359927,-71.119275,Citizens Connect App,"(42.359927, -71.119275)"
Request for Pothole Repair,PWDx,INTERSECTION of Kilsyth Rd & Selkirk Rd  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2112,,INTERSECTION Kilsyth Rd & Selkirk Rd,,42.37498,-71.06467,Citizens Connect App,"(42.37498, -71.06467)"
Request for Pothole Repair,PWDx,484 Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,R3,484 Washington St,02135,42.34873,-71.16077,Citizens Connect App,"(42.34873, -71.16077)"
Request for Pothole Repair,PWDx,65 Lanark Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2112,CD,65 Lanark Rd,02135,42.34021,-71.14651,Citizens Connect App,"(42.34021, -71.14651)"
Request for Pothole Repair,PWDx,INTERSECTION of Brock St & Oakland St  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,,INTERSECTION Brock St & Oakland St,,42.318325,-71.069497,Citizens Connect App,"(42.318325, -71.069497)"
Request for Pothole Repair,PWDx,2 Lothian Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2115,R3,2 Lothian Rd,02135,42.34022,-71.15401,Citizens Connect App,"(42.34022, -71.15401)"
Request for Pothole Repair,INFO,65 Everett St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2202,R2,65 Everett St,02134,42.35588,-71.13818,Citizens Connect App,"(42.35588, -71.13818)"
Request for Pothole Repair,PWDx,1287 Commonwealth Ave  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2107,A,1287 Commonwealth Ave,02134,42.349514,-71.133601,Citizens Connect App,"(42.349514, -71.133601)"
Request for Pothole Repair,PWDx,1920 Beacon St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2114,C,1920 Beacon St,02135,42.336497,-71.149281,Citizens Connect App,"(42.336497, -71.149281)"
Request for Pothole Repair,PWDx,1259 Commonwealth Ave  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2105,CD,1259 Commonwealth Ave,02134,42.35001,-71.13258,Citizens Connect App,"(42.35001, -71.13258)"
Request for Pothole Repair,PWDx,18 Hobson St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,R2,18 Hobson St,02135,42.35329,-71.16239,Citizens Connect App,"(42.35329, -71.16239)"
Request for Pothole Repair,PWDx,78 Euston Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,R2,78 Euston Rd,02135,42.34392,-71.14568,Citizens Connect App,"(42.34392, -71.14568)"
Request for Pothole Repair,PWDx,36 Glenville Ave  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2105,CM,36 Glenville Ave,02134,42.350127,-71.133175,Citizens Connect App,"(42.350127, -71.133175)"
Request for Pothole Repair,PWDx,INTERSECTION of Commonwealth Ave & Kelton St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2109,,INTERSECTION Commonwealth Ave & Kelton St,,42.313349,-71.105039,Citizens Connect App,"(42.313349, -71.105039)"
Request for Pothole Repair,PWDx,331 Faneuil St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,R3,331 Faneuil St,02135,42.35242,-71.1642,Citizens Connect App,"(42.35242, -71.1642)"
Request for Pothole Repair,PWDx,612 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,R3,612 Cambridge St,02134,42.35149,-71.14262,Citizens Connect App,"(42.35149, -71.14262)"
Request for Pothole Repair,PWDx,388-392 Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,RC,388-392 Washington St,02135,42.348932,-71.15457,Citizens Connect App,"(42.348932, -71.15457)"
Request for Pothole Repair,PWDx,INTERSECTION of Faneuil St & Turner St  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,,INTERSECTION Faneuil St & Turner St,,42.35242,-71.15553,Citizens Connect App,"(42.35242, -71.15553)"
Request for Pothole Repair,PWDx,1943 Beacon St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2114,E,1943 Beacon St,02135,42.335683,-71.149358,Citizens Connect App,"(42.335683, -71.149358)"
Request for Pothole Repair,PWDx,175 Kenrick St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2204,R1,175 Kenrick St,02135,42.34697,-71.1703,Citizens Connect App,"(42.34697, -71.1703)"
Request for Pothole Repair,PWDx,INTERSECTION of Beacon St & Malia Ter  Brighton  MA,,04,9,D14,Allston / Brighton,15,Ward 21,2116,,INTERSECTION Beacon St & Malia Ter,,42.287181,-71.061462,Citizens Connect App,"(42.287181, -71.061462)"
Request for Pothole Repair,PWDx,24 Oak Square Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2207,R3,24 Oak Square Ave,02135,42.35063,-71.164,Citizens Connect App,"(42.35063, -71.164)"
Request for Pothole Repair,PWDx,1762-1754 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,CM,1762-1754 Commonwealth Ave,02135,42.340714,-71.149997,Citizens Connect App,"(42.340714, -71.149997)"
Request for Pothole Repair,PWDx,INTERSECTION of Allston St & Hollis Pl  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,,INTERSECTION Allston St & Hollis Pl,,42.374213,-71.058493,Citizens Connect App,"(42.374213, -71.058493)"
Request for Pothole Repair,BWSC,INTERSECTION of Corey Rd & Washington St  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2110,,INTERSECTION Corey Rd & Washington St,,42.360167,-71.067922,Citizens Connect App,"(42.360167, -71.067922)"
Request for Pothole Repair,PWDx,53 Colborne Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,CD,53 Colborne Rd,02135,42.34389,-71.14672,Citizens Connect App,"(42.34389, -71.14672)"
Request for Pothole Repair,PWDx,INTERSECTION of Commonwealth Ave & Lake St  Brighton  MA,,04,9,D14,Allston / Brighton,15,Ward 22,2208,,INTERSECTION Commonwealth Ave & Lake St,,42.3594,-71.0587,Citizens Connect App,"(42.3594, -71.0587)"
Request for Pothole Repair,PWDx,INTERSECTION of Brighton Ave & Commonwealth Ave  Boston  MA,11,04,9,D14,Allston / Brighton,14,Ward 21,2103,,INTERSECTION Brighton Ave & Commonwealth Ave,,42.31347,-71.07131,Citizens Connect App,"(42.31347, -71.07131)"
Request for Pothole Repair,PWDx,35 Brock St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,R4,35 Brock St,02135,42.3502,-71.16018,Citizens Connect App,"(42.3502, -71.16018)"
Request for Pothole Repair,PWDx,2400 Beacon St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2116,CM,2400 Beacon St,02135,42.333614,-71.153143,Citizens Connect App,"(42.333614, -71.153143)"
Request for Pothole Repair,PWDx,INTERSECTION of Brighton Ave & Fordham Rd  Allston  MA,11,04,9,D14,Allston / Brighton,14,Ward 21,2103,,INTERSECTION Brighton Ave & Fordham Rd,,42.314319,-71.071043,Citizens Connect App,"(42.314319, -71.071043)"
Request for Pothole Repair,PWDx,8 Kinross Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,CM,8 Kinross Rd,02135,42.34059,-71.14951,Citizens Connect App,"(42.34059, -71.14951)"
Request for Pothole Repair,PWDx,149 Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2109,E,149 Washington St,02135,42.346054,-71.145768,Citizens Connect App,"(42.346054, -71.145768)"
Request for Pothole Repair,PWDx,1 Mount Vernon St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2209,R2,1 Mount Vernon St,02135,42.346714,-71.154386,Citizens Connect App,"(42.346714, -71.154386)"
Request for Pothole Repair,PWDx,8 Kinross Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2113,CM,8 Kinross Rd,02135,42.34059,-71.14951,Citizens Connect App,"(42.34059, -71.14951)"
Request for Pothole Repair,BWSC,272 Faneuil St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,R2,272 Faneuil St,02135,42.35244,-71.16129,Citizens Connect App,"(42.35244, -71.16129)"
Request for Pothole Repair,PWDx,224 Washington St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,R3,224 Washington St,02135,42.34696,-71.148597,Citizens Connect App,"(42.34696, -71.148597)"
Request for Pothole Repair,PWDx,1460 Commonwealth Ave  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2109,R4,1460 Commonwealth Ave,02134,42.347557,-71.140178,Citizens Connect App,"(42.347557, -71.140178)"
Request for Pothole Repair,PWDx,129 Faneuil St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2211,R1,129 Faneuil St,02135,42.3557,-71.15598,Citizens Connect App,"(42.3557, -71.15598)"
Request for Pothole Repair,PWDx,INTERSECTION of Kelton St & Scottfield Rd  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2108,,INTERSECTION Kelton St & Scottfield Rd,,42.29026,-71.05551,Citizens Connect App,"(42.29026, -71.05551)"
Request for Pothole Repair,INFO,392-398 Chestnut Hill Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2114,C,392-398 Chestnut Hill Ave,02135,42.335654,-71.149869,Citizens Connect App,"(42.335654, -71.149869)"
Request for Pothole Repair,PWDx,INTERSECTION of Chestnut Hill Ave & Sutherland Rd  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2116,,INTERSECTION Chestnut Hill Ave & Sutherland Rd,,42.325342,-71.086005,Citizens Connect App,"(42.325342, -71.086005)"
Request for Pothole Repair,PWDx,INTERSECTION of Brainerd Rd & Harvard Ave  Allston  MA,11,04,9,D14,Allston / Brighton,14,Ward 21,2103,,INTERSECTION Brainerd Rd & Harvard Ave,,42.2843,-71.14107,Citizens Connect App,"(42.2843, -71.14107)"
Request for Pothole Repair,PWDx,INTERSECTION of Commonwealth Ave & Long Ave  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2107,,INTERSECTION Commonwealth Ave & Long Ave,,42.3594,-71.0587,Citizens Connect App,"(42.3594, -71.0587)"
Request for Pothole Repair,PWDx,316 N Harvard St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,RC,316 N Harvard St,02134,42.359706,-71.127639,Citizens Connect App,"(42.359706, -71.127639)"
Request for Pothole Repair,PWDx,INTERSECTION of Washington St & Snow St  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2109,,INTERSECTION Washington St & Snow St,,42.356569,-71.051163,Citizens Connect App,"(42.356569, -71.051163)"
Request for Pothole Repair,PWDx,15-17 Wadsworth St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,R2,15-17 Wadsworth St,02134,42.35496,-71.12636,Citizens Connect App,"(42.35496, -71.12636)"
Request for Pothole Repair,PWDx,4 Mead St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2202,R3,4 Mead St,02134,42.36158,-71.13201,Citizens Connect App,"(42.36158, -71.13201)"
Request for Pothole Repair,PWDx,27 Lothrop St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2205,R4,27 Lothrop St,02135,42.36019,-71.144922,Citizens Connect App,"(42.36019, -71.144922)"
Request for Pothole Repair,PWDx,1 Reservoir Ct  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2114,R4,1 Reservoir Ct,02135,42.33745,-71.14631,Citizens Connect App,"(42.33745, -71.14631)"
Request for Pothole Repair,PWDx,58 Lane Park  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2208,R2,58 Lane Park,02135,42.34275,-71.15918,Citizens Connect App,"(42.34275, -71.15918)"
Request for Pothole Repair,PWDx,26-28 Tremont St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2204,R3,26-28 Tremont St,02135,42.34995,-71.16955,Citizens Connect App,"(42.34995, -71.16955)"
Request for Pothole Repair,PWDx,31 South St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2209,A,31 South St,02135,42.340092,-71.157047,Citizens Connect App,"(42.340092, -71.157047)"
Request for Pothole Repair,PWDx,392-398 Chestnut Hill Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2114,C,392-398 Chestnut Hill Ave,02135,42.335654,-71.149869,Citizens Connect App,"(42.335654, -71.149869)"
Request for Pothole Repair,PWDx,1 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,22,2201,,1 Cambridge St,02134,42.3594,-71.0587,Citizens Connect App,"(42.3594, -71.0587)"
Request for Pothole Repair,PWDx,INTERSECTION of Allston St & Brighton Ave  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,,INTERSECTION Allston St & Brighton Ave,,42.374738,-71.059806,Citizens Connect App,"(42.374738, -71.059806)"
Request for Pothole Repair,PWDx,INTERSECTION of Almy St & Windom St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Almy St & Windom St,,42.252403,-71.128784,Citizens Connect App,"(42.252403, -71.128784)"
Request for Pothole Repair,PWDx,52 Lake Shore Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2208,R1,52 Lake Shore Rd,02135,42.34425,-71.16464,Citizens Connect App,"(42.34425, -71.16464)"
Request for Pothole Repair,PWDx,55-65 Lanark Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2112,CM,55-65 Lanark Rd,02135,42.33997,-71.14624,Citizens Connect App,"(42.33997, -71.14624)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Soldiers Field Rd  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Cambridge St & Soldiers Field Rd,,42.35248,-71.13474,Citizens Connect App,"(42.35248, -71.13474)"
Request for Pothole Repair,PWDx,INTERSECTION of N Beacon St & Dustin St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,,INTERSECTION N Beacon St & Dustin St,,42.38555,-71.01783,Citizens Connect App,"(42.38555, -71.01783)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Soldiers Field Rd  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Cambridge St & Soldiers Field Rd,,42.35248,-71.13474,Citizens Connect App,"(42.35248, -71.13474)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Hano St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,,INTERSECTION Cambridge St & Hano St,,42.350441,-71.138125,Citizens Connect App,"(42.350441, -71.138125)"
Request for Pothole Repair,PWDx,78 Euston Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,R2,78 Euston Rd,02135,42.34392,-71.14568,Citizens Connect App,"(42.34392, -71.14568)"
